name_customer,cust_number,invoice_id,total_open_amount,due_in_date,clear_date,Notes
WAL-MAR systems,200769623,1930663005,7256.04,02-04-2020,03-04-2020,abhinav
WAL-MAR corp,200769623,1930877510,49268.13,23-05-2020,23-05-2020,abhinav
KENNETH llc,200729828,1930760018,9295.54,22-04-2020,24-04-2020,abhinav
TARG foundation,200744019,1930777163,86428.29,25-04-2020,26-04-2020,abhinav
SAVE-ON- us,140104225,2960618536,86048.62,16-03-2020,05-05-2020,abhinav
WAL-MAR corp,200769623,1930809872,21700.76,08-05-2020,08-05-2020,abhinav
WAL-MAR foundation,200769623,1930862530,35954.58,21-05-2020,20-05-2020,abhinav
AM systems,200418007,1930581289,1884.26,18-03-2020,21-03-2020,abhinav
KRAFT F systems,CCU013,1930628942,5086.17,14-03-2020,10-03-2020,abhinav
MDV/ in,200792734,1930780484,41740.3,28-04-2020,30-04-2020,abhinav
HAR llc,200762950,1930697842,33681.59,08-04-2020,07-04-2020,abhinav
DOLLA foundation,200148860,1930663084,68547.47,02-04-2020,01-04-2020,abhinav
WAL-MAR llc,200769623,1930717394,191.64,15-04-2020,15-04-2020,abhinav
WAL-MAR llc,200769623,1930825895,26748.36,10-05-2020,11-05-2020,abhinav
AM corporation,200418007,1930710350,141793.58,14-04-2020,14-04-2020,abhinav
ALBERT in,200881076,1930638631,65894.56,26-03-2020,26-03-2020,abhinav
SA co,200759878,1930785591,104147.34,30-05-2020,02-06-2020,abhinav
WAL-MAR associates,200769623,1930646232,3797.1,28-03-2020,24-03-2020,abhinav
PUBLI us,200707822,1930685442,111009.59,06-04-2020,15-04-2020,abhinav
BJ'S  systems,200726979,1930635109,253.26,26-03-2020,01-04-2020,abhinav
LOB llc,140104409,2960627956,100019.41,27-04-2020,14-05-2020,abhinav
SA ,200759878,1930651451,27245.04,30-03-2020,02-04-2020,abhinav
BJ'S  co,200726979,1930585684,63.48,17-03-2020,17-03-2020,abhinav
BA corporation,100035880,1930608276,15659.03,20-03-2020,21-03-2020,abhinav
METRO  foundation,140104423,2960632399,83252.91,17-05-2020,16-05-2020,abhinav
WAL-MAR corporation,200769623,1930845067,7492.25,16-05-2020,17-05-2020,abhinav
DECA corporation,200353024,1930689559,5392.39,08-04-2020,08-04-2020,abhinav
SAFEW corp,200772595,1930673441,68969.14,03-04-2020,03-04-2020,abhinav
WAL-MAR corporation,200769623,1930582445,45185.42,15-03-2020,14-03-2020,abhinav
SUPE co,200936373,1930790855,28491.79,30-04-2020,01-05-2020,abhinav
WAL-MAR trust,200769623,1930699619,17220.24,11-04-2020,01-04-2020,abhinav
PUBLI co,200707822,1930877008,102065.32,22-05-2020,22-05-2020,abhinav
LOB corporation,140104409,2960632267,141269.19,16-05-2020,18-05-2020,abhinav
LOB corporation,140104409,2960627261,60778.95,20-04-2020,04-05-2020,abhinav
IND systems,100011958,1991841846,14714.26,17-05-2020,31-05-2020,abhinav
WAL-MAR systems,200769623,1930879604,53557.33,25-05-2020,18-05-2020,abhinav
WAL-MAR ,200769623,1930741653,41560.06,19-04-2020,18-04-2020,abhinav
WAL-MAR systems,200769623,1930721703,45715.61,14-04-2020,14-04-2020,abhinav
C&S WH corporation,200762301,1930647300,494.23,17-05-2020,17-05-2020,abhinav
DICK trust,140101584,1991840459,683.7,08-05-2020,09-05-2020,abhinav
WAL-MAR trust,200769623,1930784046,24517.27,29-04-2020,20-05-2020,abhinav
WAL-MAR associates,200769623,1930718502,24865.55,13-04-2020,16-04-2020,abhinav
METRO  trust,140104423,2960622556,110697.45,03-04-2020,03-05-2020,abhinav
WAL-M associates,140106408,2960619547,950.47,23-03-2020,28-03-2020,abhinav
C&S WH associates,200762301,1930779207,31064.56,28-04-2020,01-05-2020,abhinav
MDV/ us,200792734,1930709988,13438.38,11-04-2020,18-04-2020,abhinav
KROGER us,200752302,1930731919,55674.71,16-04-2020,12-04-2020,abhinav
WAL-MAR ,200769623,1930802516,7977.38,05-05-2020,03-05-2020,abhinav
AM systems,200418007,1930718799,52230.54,14-04-2020,16-04-2020,abhinav
PUBLI systems,200707822,1930747029,106066.45,20-04-2020,20-04-2020,abhinav
ASSOCIAT ,200772670,1930773288,7903.04,24-04-2020,23-04-2020,abhinav
KROGER llc,200732755,1930794850,31558.95,02-05-2020,29-04-2020,abhinav
TARG corporation,200744019,1930853010,1218.09,17-05-2020,26-04-2020,abhinav
SUPE trust,200793568,1930593948,560.01,18-03-2020,11-03-2020,abhinav
SAFEW corporation,200772595,1930857469,115866.8,19-05-2020,20-05-2020,abhinav
DECA corp,200353024,1930689935,376.5,08-04-2020,05-04-2020,abhinav
BJ'S  associates,200726979,1930655114,217.29,31-03-2020,28-04-2020,abhinav
PERFOR trust,200763152,1930620700,25232.32,25-03-2020,27-03-2020,abhinav
WAL-MAR corporation,200769623,1930757204,1661.48,21-04-2020,13-04-2020,abhinav
AM in,200418007,1930623804,31.56,14-05-2020,26-05-2020,abhinav
DEC foundation,200020431,1930599540,20376.57,24-03-2020,24-03-2020,abhinav
WAL-MAR in,200769623,1930692190,34305.21,09-04-2020,07-04-2020,abhinav
WAL-MAR us,200769623,1930738935,15384.31,19-04-2020,16-04-2020,abhinav
WAL-MAR us,200769623,1930717413,2373.96,14-04-2020,10-04-2020,abhinav
RA co,200704045,1930690047,42979.02,08-04-2020,06-04-2020,abhinav
CE corporation,200778998,1930925406,1170.32,04-06-2020,11-06-2020,abhinav
WAL-MAR foundation,200769623,1930827678,35365.17,13-05-2020,14-05-2020,abhinav
WAL-MAR us,200769623,1930623196,47498.82,25-03-2020,22-03-2020,abhinav
SA foundation,200759878,1930709108,9208.33,12-04-2020,13-04-2020,abhinav
C&S WH in,200762301,1930797649,66979.92,04-05-2020,06-05-2020,abhinav
WAL-MAR llc,200769623,1930729016,27256.6,16-04-2020,18-04-2020,abhinav
KING S foundation,200707005,1930712290,120458.23,14-04-2020,15-04-2020,abhinav
PERFOR foundation,200722444,1930645143,15814.26,01-04-2020,30-03-2020,abhinav
WAL-MAR foundation,200769623,1930726758,26598.37,16-04-2020,16-04-2020,abhinav
DECA co,200353024,1930606179,5645.72,11-03-2020,10-03-2020,abhinav
GO associates,200721222,1930699679,164355.88,10-04-2020,11-04-2020,abhinav
DECA corp,200353024,1930606756,2754.58,11-03-2020,07-03-2020,abhinav
AM systems,200418007,1930855644,42049.76,22-05-2020,21-05-2020,abhinav
WAL-MAR ,200769623,1930823140,3270.04,09-05-2020,05-05-2020,abhinav
O ,200387240,1930645103,4179.23,26-03-2020,01-04-2020,abhinav
UNITE ,200696090,1930819308,951.21,15-05-2020,13-05-2020,abhinav
SAFEW ,200772595,1930721725,90769.9,14-04-2020,15-04-2020,abhinav
WAL-MAR associates,200769623,1930671423,17337.6,04-04-2020,10-04-2020,abhinav
TARG foundation,200744019,1930704077,28520.99,11-04-2020,10-04-2020,abhinav
NU systems,200129450,1930752846,39878.39,07-05-2020,07-05-2020,abhinav
WAL-MAR us,200769623,1930862550,8886.56,21-05-2020,18-05-2020,abhinav
WAL-MAR llc,200769623,1930794069,31726.28,02-05-2020,02-05-2020,abhinav
SOUTH  in,100058018,1930592157,3588,04-04-2020,06-04-2020,abhinav
WAL-MAR corporation,200769623,1930664202,3228.13,01-04-2020,30-03-2020,abhinav
FR trust,200705372,1930710746,49694.03,13-04-2020,13-04-2020,abhinav
WAL-M co,140106408,2960619642,14231.11,19-03-2020,25-03-2020,abhinav
KRAFT  trust,CCCA02,1930636487,16934.4,17-04-2020,01-05-2020,abhinav
KROGER llc,200793513,1930697881,46970.74,09-04-2020,09-04-2020,abhinav
SMITH'S corporation,200466603,1930768559,63293.02,24-04-2020,24-04-2020,abhinav
DEC ,200020431,1930763222,62962.76,11-04-2020,11-04-2020,abhinav
ASSOCIAT corp,200772670,1930760436,1013.76,22-04-2020,22-04-2020,abhinav
WAL-MAR co,200769623,1930660437,62305.29,02-04-2020,26-03-2020,abhinav
SA corp,200759878,1930593954,14163.91,20-03-2020,20-03-2020,abhinav
SYSC llc,140105686,2960630093,74981.3,12-05-2020,18-05-2020,abhinav
WAL-MAR systems,200769623,1930846812,37396.12,16-05-2020,17-05-2020,abhinav
WINC systems,200706844,1930854033,36629.62,18-05-2020,18-05-2020,abhinav
FAMILY co,200786288,1930581809,59426.28,15-03-2020,17-03-2020,abhinav
M B  us,200741174,1930581350,9985.18,19-03-2020,23-03-2020,abhinav
DEC trust,200416837,1930872214,2395.15,24-05-2020,24-05-2020,abhinav
KROGER foundation,200752302,1930850347,27815.87,19-05-2020,17-05-2020,abhinav
WAL-MAR llc,200769623,1930703626,7724.51,10-04-2020,29-03-2020,abhinav
SMITH'S llc,200820380,1930857090,88473.7,21-05-2020,23-05-2020,abhinav
COST us,200794332,1930668380,14772.55,05-04-2020,06-04-2020,abhinav
WAL-M corp,140106408,2960626024,12377.48,14-04-2020,16-04-2020,abhinav
WAL-MAR in,200769623,1930716577,10542.97,13-04-2020,13-04-2020,abhinav
AM foundation,200418007,1930787172,618.12,07-05-2020,04-04-2020,abhinav
DOLLA trust,200148860,1930624246,47652.41,25-03-2020,30-03-2020,abhinav
WAL-MAR systems,200769623,1930782054,28699.63,28-04-2020,28-04-2020,abhinav
WAL-MAR ,200769623,1930782872,71678.21,30-04-2020,30-04-2020,abhinav
WAL-MAR llc,200769623,1930737839,5091.3,19-04-2020,15-04-2020,abhinav
DECA llc,200353024,1930606952,252.96,24-03-2020,30-03-2020,abhinav
WAL-MAR systems,200769623,1930581958,40533.35,15-03-2020,22-03-2020,abhinav
DOLLA associates,200148860,1930716983,22575.42,14-04-2020,14-04-2020,abhinav
EB corporation,200775660,1930698662,119205.4,08-04-2020,08-04-2020,abhinav
WAL-MAR llc,200769623,1930881748,58340.47,24-05-2020,26-05-2020,abhinav
WAL-MAR corporation,200769623,1930576799,15882.2,14-03-2020,13-03-2020,abhinav
WAL-MAR foundation,200769623,1930605489,12004.21,21-03-2020,23-03-2020,abhinav
DOLLA corporation,200148860,1930715952,78966.58,15-04-2020,18-04-2020,abhinav
NASH  corporation,200777735,1930763785,101081.05,22-04-2020,30-04-2020,abhinav
WAL-MAR corporation,200769623,1930822142,1025.63,09-05-2020,07-05-2020,abhinav
SUPE ,200936373,1930809336,38744.75,06-05-2020,08-05-2020,abhinav
WAL-MAR corp,200769623,1930833887,36443.02,15-05-2020,16-05-2020,abhinav
BAR us,200486270,1930619608,3836.08,28-03-2020,31-03-2020,abhinav
SA corporation,200759878,1930723113,99632.23,16-04-2020,11-04-2020,abhinav
LONGO  ,140106271,2960617234,118729.45,13-03-2020,06-04-2020,abhinav
WAL-MAR ,200769623,1930581105,66041.98,14-03-2020,11-03-2020,abhinav
BOZZU associates,200779906,1930782664,12216.5,29-04-2020,30-04-2020,abhinav
WAL-MAR foundation,200769623,1930883691,50829.87,26-05-2020,24-05-2020,abhinav
SYSCO  ,200714710,1930642787,152.41,01-04-2020,01-04-2020,abhinav
WAL-MAR in,200769623,1930860009,37590.04,20-05-2020,18-05-2020,abhinav
DOT corp,200705742,1930625092,63028,24-03-2020,26-03-2020,abhinav
GORDO llc,200782001,1930657319,50874.23,31-03-2020,29-03-2020,abhinav
PAPA JO foundation,100043936,1930830194,18135.88,08-05-2020,09-05-2020,abhinav
WAL-MAR ,200769623,1930858481,44281.47,22-05-2020,18-05-2020,abhinav
PUBLI foundation,200707822,1930715070,60621.57,11-04-2020,09-04-2020,abhinav
WAL-MAR corp,200769623,1930808564,43.61,07-05-2020,05-05-2020,abhinav
TARG trust,200744019,1930757977,2588.53,23-04-2020,04-04-2020,abhinav
BJ'S  llc,200726979,1930587897,643.56,18-03-2020,19-03-2020,abhinav
SUPE corp,200741831,1930782311,20148.94,28-04-2020,02-05-2020,abhinav
WAL-MAR trust,200769623,1930707388,1898.2,10-04-2020,06-04-2020,abhinav
WAL-MAR systems,200769623,1930732651,2352.97,18-04-2020,14-04-2020,abhinav
SAVE-ON- llc,140104225,2960622561,52667.27,08-04-2020,15-04-2020,abhinav
WAL-MAR associates,200769623,1930581914,8949.7,14-03-2020,13-03-2020,abhinav
WAKE us,200704858,1930730190,9793.34,17-04-2020,15-04-2020,abhinav
SYSC corporation,140105686,2960621205,9059.01,29-03-2020,14-05-2020,abhinav
BJ'S  systems,200726979,1930668356,15221.76,02-04-2020,01-04-2020,abhinav
C&S WH us,200762301,1930619324,15372.29,24-03-2020,24-03-2020,abhinav
JETR foundation,200705089,1930752327,10685.94,21-04-2020,20-04-2020,abhinav
BJ'S  ,200726979,1930773598,599.35,19-04-2020,12-04-2020,abhinav
SUPE foundation,200936373,1930688528,573.46,10-04-2020,08-04-2020,abhinav
KROGER co,200732755,1930607062,14189.05,21-03-2020,20-03-2020,abhinav
WAL-MAR co,200769623,1930743648,11780.9,20-04-2020,21-04-2020,abhinav
METRO  ,140104423,2960623149,80357.93,02-04-2020,04-04-2020,abhinav
DIANN systems,100025890,1930662772,4342.64,27-03-2020,21-03-2020,abhinav
NASH  corp,200777735,1930760008,25019.44,24-04-2020,25-04-2020,abhinav
WAL-MAR in,200769623,1930606076,51062.04,20-03-2020,18-03-2020,abhinav
AM associates,200418007,1930594947,140200,19-03-2020,20-03-2020,abhinav
WAL-MAR ,200769623,1930830729,6059.73,13-05-2020,16-05-2020,abhinav
DECA foundation,200353024,1930876812,235.26,11-05-2020,10-05-2020,abhinav
TARG corporation,200744019,1930688036,3583.62,10-04-2020,17-04-2020,abhinav
WAL-MAR co,200769623,1930576831,14941.31,15-03-2020,13-03-2020,abhinav
WAL-M trust,140106408,2960625386,41848,12-04-2020,23-04-2020,abhinav
WAL-MAR llc,200769623,1930831167,1084.68,13-05-2020,09-05-2020,abhinav
DECA associates,200230690,1930674746,11287.44,08-04-2020,04-04-2020,abhinav
GROC foundation,200915438,1930624228,16748.06,25-03-2020,24-03-2020,abhinav
PEA co,200455322,1930641628,68844.69,10-04-2020,04-04-2020,abhinav
MCL llc,200799367,1930735139,54316.9,17-04-2020,18-04-2020,abhinav
DEC corp,200020431,1930860027,1625.76,24-05-2020,16-05-2020,abhinav
KRFT FDS us,CCU002,1930687929,38141.4,29-04-2020,29-04-2020,abhinav
COSTCO in,140104429,2960624636,36237.66,07-04-2020,05-04-2020,abhinav
SYSCO F co,200718130,1930692595,3195.33,08-04-2020,06-04-2020,abhinav
WAL-MAR us,200769623,1930829839,44842.2,13-05-2020,12-05-2020,abhinav
WAL-MAR trust,200769623,1930583962,23910.51,16-03-2020,18-03-2020,abhinav
SA foundation,200759878,1930861040,43937.23,22-05-2020,22-05-2020,abhinav
WAL-M corporation,140106408,2960622051,18630.2,31-03-2020,08-04-2020,abhinav
THE NO ,140104552,2960632901,41037.06,21-05-2020,31-05-2020,abhinav
BJ'S  corp,200726979,1930608471,68.91,21-03-2020,15-03-2020,abhinav
SA corporation,200759878,1930720269,105811.04,15-05-2020,15-05-2020,abhinav
SUPE associates,200793568,1930598785,92941.83,19-03-2020,20-03-2020,abhinav
WAL-MAR trust,200769623,1930654543,1083.34,31-03-2020,23-03-2020,abhinav
AMAZO associates,100030194,2960626578,57831.75,01-05-2020,07-05-2020,abhinav
MEIJ corp,200780383,1930594610,71688.9,18-03-2020,18-03-2020,abhinav
WAL-MAR us,200769623,1930803112,8949.7,06-05-2020,05-05-2020,abhinav
WAKE corp,200704858,1930810350,107535.18,09-05-2020,10-05-2020,abhinav
LOB foundation,140104409,2960622254,6586.68,13-04-2020,18-04-2020,abhinav
WAL-MAR corporation,200769623,1930661313,86.15,02-04-2020,03-04-2020,abhinav
BJ'S  systems,200726979,1930828795,170.63,11-05-2020,10-05-2020,abhinav
SYSCO  trust,200785971,1930592865,20316.75,17-03-2020,16-03-2020,abhinav
BJ'S  llc,200726979,1930661356,744.61,02-04-2020,09-04-2020,abhinav
COSTCO systems,140104429,2960618241,4561.05,14-03-2020,01-04-2020,abhinav
WAL-M associates,140106408,2960623147,78764.39,31-03-2020,02-04-2020,abhinav
WAL-MAR corporation,200769623,1930638207,70310.31,30-03-2020,30-03-2020,abhinav
TONY co,200589514,1930788285,91036.93,30-04-2020,29-04-2020,abhinav
WAL-MAR associates,200769623,1930788619,33927.27,30-04-2020,29-04-2020,abhinav
SO ,140104440,2960617311,219197.68,13-03-2020,17-03-2020,abhinav
FR ,200705372,1930652543,15634.87,01-04-2020,04-04-2020,abhinav
ASSOCIAT corp,200772670,1930757991,106795.63,22-04-2020,22-04-2020,abhinav
SMITH'S associates,200466603,1930714719,17331.51,12-04-2020,19-04-2020,abhinav
UNITE ,200696090,1930653791,3470.2,02-04-2020,12-04-2020,abhinav
SO llc,140104440,2960624089,54621.18,15-04-2020,19-04-2020,abhinav
GROC llc,200915438,1930797939,18170,07-05-2020,09-05-2020,abhinav
PUBLI systems,200707822,1930674823,106779.15,03-04-2020,03-04-2020,abhinav
WAL-MAR systems,200769623,1930692580,1991.84,09-04-2020,05-04-2020,abhinav
WAL-MAR systems,200769623,1930605938,13240.06,20-03-2020,21-03-2020,abhinav
WAL-MAR llc,200769623,1930852438,661.11,18-05-2020,15-05-2020,abhinav
SUPE us,200936373,1930655690,17672.24,22-05-2020,23-05-2020,abhinav
ASSOCIAT ,200772670,1930754641,63970.54,24-04-2020,25-04-2020,abhinav
H E BUT us,200761734,1930592225,95492.15,18-03-2020,18-03-2020,abhinav
DECA ,200353024,1930606855,4104.06,11-03-2020,06-03-2020,abhinav
C&S WH llc,200762301,1930685856,889.63,27-05-2020,25-04-2020,abhinav
WAL-MAR foundation,200769623,1930677105,286.74,05-04-2020,02-04-2020,abhinav
WAL-MAR ,200769623,1930717741,3000.46,15-04-2020,12-04-2020,abhinav
COST trust,200794332,1930817312,8793.09,08-05-2020,04-05-2020,abhinav
WAL-MAR ,200769623,1930776588,838.89,26-04-2020,26-04-2020,abhinav
BJ'S  co,200726979,1930664699,33.18,03-04-2020,03-04-2020,abhinav
FACE us,140103983,1991841841,40409,30-05-2020,02-06-2020,abhinav
WAL-MAR in,200769623,1930855840,3500.05,21-05-2020,22-05-2020,abhinav
KROGE foundation,200776463,1930731021,63110.9,16-04-2020,15-04-2020,abhinav
ARKANS corp,200687457,1930848452,7111.9,11-05-2020,13-05-2020,abhinav
ALBERT us,200881076,1930642145,8460.66,16-05-2020,23-05-2020,abhinav
SUPE llc,200741831,1930655274,69522.09,31-03-2020,30-03-2020,abhinav
QUI systems,200742791,1930598907,73254.37,18-03-2020,15-03-2020,abhinav
WAL-MAR co,200769623,1930857697,2449.41,20-05-2020,21-05-2020,abhinav
ASSOCIAT systems,200772670,1930671862,704.83,03-04-2020,05-04-2020,abhinav
UNIFIE corp,200792293,1930627715,24186.82,24-03-2020,24-03-2020,abhinav
BJ'S  ,200726979,1930787724,784.28,30-04-2020,30-04-2020,abhinav
EB corp,200775660,1930739255,10546.55,07-06-2020,08-06-2020,abhinav
AM in,200418007,1930691773,4747.78,14-04-2020,10-04-2020,abhinav
SYSCO corporation,200900909,1930797639,19183.47,06-05-2020,13-05-2020,abhinav
WAL-MAR systems,200769623,1930613512,10267.04,22-03-2020,23-03-2020,abhinav
WAL-MAR us,200769623,1930723647,57051.33,14-04-2020,15-04-2020,abhinav
D systems,200096390,1930554662,16641.81,14-03-2020,11-03-2020,abhinav
WAL-MAR in,200769623,1930754330,1889,21-04-2020,24-04-2020,abhinav
WAL-M corporation,140106408,2960623219,6035.6,01-04-2020,10-04-2020,abhinav
SMITH'S in,200466603,1930776781,65203.13,28-04-2020,27-04-2020,abhinav
BJ'S  corp,200726979,1930668500,38280.78,03-04-2020,05-04-2020,abhinav
WAL-MAR us,200769623,1930819860,3443.79,09-05-2020,10-05-2020,abhinav
KROGER corp,200793513,1930647762,20839.66,03-04-2020,04-04-2020,abhinav
WAL-MAR systems,200769623,1930580534,9802.64,16-03-2020,12-03-2020,abhinav
MY MOT corp,100021392,1930732847,14466.6,17-04-2020,15-04-2020,abhinav
WAL-MAR associates,200769623,1930718330,1898.2,14-04-2020,10-04-2020,abhinav
WAL-MAR in,200769623,1930581910,37899.37,15-03-2020,12-03-2020,abhinav
M corporation,200793830,1930752415,37261.43,10-06-2020,20-06-2020,abhinav
BJ'S  in,200726979,1930626251,9222.81,26-03-2020,27-03-2020,abhinav
C trust,200778870,1930831889,4679.85,13-05-2020,10-05-2020,abhinav
ASSOCIAT corp,200772670,1930875983,11789.99,22-05-2020,23-05-2020,abhinav
RA us,200704045,1930810313,41434.83,06-05-2020,03-05-2020,abhinav
WAL-MAR trust,200769623,1930797009,12120.89,02-05-2020,03-05-2020,abhinav
DOT systems,200705742,1930581682,3536.22,14-03-2020,21-03-2020,abhinav
ALBERT systems,200881076,1930707455,98846.5,11-04-2020,17-04-2020,abhinav
WAL-M foundation,140106408,2960619217,77544.54,18-03-2020,20-03-2020,abhinav
WEIS corporation,200771157,1930809996,25185.31,07-05-2020,05-05-2020,abhinav
WAL-MAR trust,200769623,1930685124,33985.79,07-04-2020,07-04-2020,abhinav
SA ,200759878,1930838843,32653.05,15-05-2020,12-05-2020,abhinav
FO corporation,200748335,1930685952,93221.22,12-04-2020,14-04-2020,abhinav
COSTCO corporation,140104429,2960619803,3152.34,20-03-2020,22-03-2020,abhinav
WAL-MAR trust,200769623,1930800242,2019.69,03-05-2020,01-05-2020,abhinav
DECA systems,200230690,1930672059,29955.73,26-03-2020,24-03-2020,abhinav
SMITH'S foundation,200820380,1930785505,60756.72,01-05-2020,28-04-2020,abhinav
WAL-MAR corporation,200769623,1930772184,34421.75,25-04-2020,27-04-2020,abhinav
DEC corp,200416837,1930698875,5263.94,08-04-2020,29-03-2020,abhinav
JRD us,200781803,1930665020,34.32,06-04-2020,04-04-2020,abhinav
INTERN llc,100007916,1991841938,717.38,11-05-2020,12-05-2020,abhinav
DEC llc,200803720,1930765358,3977.55,24-04-2020,26-04-2020,abhinav
EL GR ,200761342,1930870868,41724.81,21-05-2020,22-05-2020,abhinav
DECA co,200592182,1930690428,36339.13,26-03-2020,26-03-2020,abhinav
SUPER  llc,200749225,1930669400,86952.13,03-04-2020,01-04-2020,abhinav
BJ'S  ,200726979,1930854855,1968.67,19-05-2020,17-05-2020,abhinav
DELHAIZE associates,100031704,1930714792,112093.04,13-04-2020,11-04-2020,abhinav
PAPA JO in,100043936,1930666478,18145.19,29-03-2020,30-03-2020,abhinav
C&S WH us,200762301,1930699371,70134.27,09-04-2020,11-04-2020,abhinav
AFFILI foundation,200779051,1930766843,82901.3,23-04-2020,23-04-2020,abhinav
H E BUT us,200761734,1930630034,36145.16,25-03-2020,22-03-2020,abhinav
WAL-MAR ,200769623,1930801191,3270.04,04-05-2020,30-04-2020,abhinav
MDV/ llc,200792734,1930793006,11958.71,30-04-2020,02-05-2020,abhinav
WAL-MAR in,200769623,1930803175,1898.2,05-05-2020,01-05-2020,abhinav
PRECIS in,200827097,1930712139,6198,12-04-2020,10-04-2020,abhinav
WAL-MAR corporation,200769623,1930610861,1084.23,22-03-2020,18-03-2020,abhinav
DOLLA corp,200148860,1930856595,29927.01,20-05-2020,16-05-2020,abhinav
WAL-MAR associates,200769623,1930845895,12072.56,17-05-2020,16-05-2020,abhinav
SAFEW foundation,200772595,1930780429,75093.89,01-05-2020,01-05-2020,abhinav
WAL-MAR foundation,200769623,1930584689,14788.65,18-03-2020,17-03-2020,abhinav
WAL-MAR corporation,200769623,1930621265,22094.51,24-03-2020,24-03-2020,abhinav
RITE corp,200781831,1930752107,52400.34,20-04-2020,18-04-2020,abhinav
BJ'S  associates,200726979,1930711684,261.84,12-04-2020,12-04-2020,abhinav
WAL-MAR systems,200769623,1930584176,31.53,16-03-2020,28-03-2020,abhinav
SA associates,200759878,1930774352,58344.72,26-04-2020,28-04-2020,abhinav
HY -  co,200795490,1930767947,11825.87,12-06-2020,08-06-2020,abhinav
WAL-M trust,140106408,2960622545,34146.16,31-03-2020,07-04-2020,abhinav
DECA corp,200592182,1930753192,29722.62,11-04-2020,23-04-2020,abhinav
DOT us,200705742,1930643183,553.52,13-04-2020,09-04-2020,abhinav
FR co,200705372,1930725211,47980.05,15-04-2020,13-04-2020,abhinav
WAL-MAR llc,200769623,1930732450,111054.25,19-04-2020,27-04-2020,abhinav
WAL-MAR in,200769623,1930793241,4821.77,01-05-2020,28-04-2020,abhinav
C&S WH ,200762301,1930802602,64828.5,05-05-2020,04-05-2020,abhinav
WAL-MAR trust,200769623,1930794114,9914.52,02-05-2020,01-05-2020,abhinav
SMART &  in,200707741,1930705344,112616.09,10-04-2020,12-04-2020,abhinav
WAL-MAR foundation,200769623,1930808314,38392.84,05-05-2020,03-05-2020,abhinav
SHAWS  foundation,200275115,1930683345,5367.78,07-04-2020,04-04-2020,abhinav
QUALITY C trust,100006311,1930789003,21846.85,29-04-2020,29-04-2020,abhinav
C&S WH llc,200762301,1930801339,8642.65,25-06-2020,24-06-2020,abhinav
SOB corp,140104249,2960623635,50597.28,12-04-2020,24-04-2020,abhinav
UNIFIE systems,200792293,1930690378,57901.34,09-04-2020,06-04-2020,abhinav
BJ'S  trust,200726979,1930793306,398.9,30-04-2020,06-04-2020,abhinav
WINC associates,200706844,1930866657,35304.38,21-05-2020,18-05-2020,abhinav
DOT corporation,200705742,1930610000,6267.39,09-04-2020,09-04-2020,abhinav
DI associates,200769369,1930607440,42248.81,21-03-2020,22-03-2020,abhinav
WAL-MAR foundation,200769623,1930744556,19985.15,19-04-2020,18-04-2020,abhinav
KROGER associates,200729290,1930581948,80685.62,14-03-2020,13-03-2020,abhinav
WAL-MAR co,200769623,1930604111,1898.9,20-03-2020,16-03-2020,abhinav
WAL-MAR ,200769623,1930585533,48331.83,18-03-2020,15-03-2020,abhinav
WAL-MAR associates,200769623,1930719116,2368.11,14-04-2020,13-04-2020,abhinav
WAL-MAR ,200769623,1930758353,47469.26,23-04-2020,25-04-2020,abhinav
ASSOCIAT corp,200772670,1930666566,23550.83,02-04-2020,03-04-2020,abhinav
WAL-MAR us,200769623,1930739606,11952.83,20-04-2020,24-04-2020,abhinav
RA systems,200704045,1930801100,49825.13,03-05-2020,02-05-2020,abhinav
WAL-MAR ,200769623,1930862534,22036.5,23-05-2020,25-05-2020,abhinav
STATER  corp,200743996,1930788529,56725.28,30-04-2020,27-04-2020,abhinav
KROGER foundation,200743123,1930648213,12982.73,28-03-2020,25-03-2020,abhinav
NEX co,200761497,1930599428,273.24,19-03-2020,21-03-2020,abhinav
WAL-MAR associates,200769623,1930877335,13505.11,23-05-2020,24-05-2020,abhinav
DOT co,200705742,1930615588,43215.26,21-03-2020,17-03-2020,abhinav
DECA in,200353024,1930813119,701.16,09-05-2020,04-05-2020,abhinav
WAL-MAR co,200769623,1930724207,21310.56,15-04-2020,14-04-2020,abhinav
BURR ,200555117,1930765414,56273.17,24-04-2020,24-04-2020,abhinav
WAL-MAR us,200769623,1930635450,3403.8,26-03-2020,22-03-2020,abhinav
WAL-MAR systems,200769623,1930779144,77234.96,28-04-2020,26-04-2020,abhinav
SUPE llc,200936373,1930792319,91579.13,02-05-2020,10-05-2020,abhinav
WAL-MAR systems,200769623,1930848596,471.56,16-05-2020,12-05-2020,abhinav
SUPE llc,200936373,1930813262,4130.64,06-05-2020,05-05-2020,abhinav
WAL-MAR systems,200769623,1930583386,4418.36,17-03-2020,22-03-2020,abhinav
BURR systems,200555117,1930808389,66290.84,10-05-2020,09-05-2020,abhinav
WAL-MAR trust,200769623,1930852442,47292.57,18-05-2020,16-05-2020,abhinav
KRAFT  corporation,CCCA02,1930571643,8537.28,02-04-2020,03-04-2020,abhinav
WAL-MAR co,200769623,1930630049,824.93,26-03-2020,03-04-2020,abhinav
C&S WH corp,200762301,1930819384,70810.05,11-05-2020,09-05-2020,abhinav
WINC associates,200706844,1930839902,7523.04,20-05-2020,21-05-2020,abhinav
